member_id,full_name,email,phone_number,gender,join_date,membership_type,status,home_branch,birth_year
1da3845b,Zied Sellami,zied.sellami@gmail.com,84671591,M,2024-10-19,Student,Active,Nabeul Plage,1991
0c196761,Fatma Gharbi,fatma.gharbi@gmail.com,21819870,F,2022-12-10,VIP,Active,Sousse Corniche,1985
74637531,Skander Mansouri,skander.mansouri@gmail.com,58148116,M,2023-05-18,VIP,Cancelled,Sousse Corniche,2001
c8a9ef4b,Yassine Rezgui,yassine.rezgui@gmail.com,98077391,M,2022-07-16,VIP,Active,Bizerte Port,2000
84d817c2,Sami Khelifi,sami.khelifi@gmail.com,98922697,M,2022-08-10,VIP,Active,Sousse Corniche,1982
be08ce2f,Malek Gharbi,malek.gharbi@gmail.com,90632642,M,2023-03-31,Student,Active,Bizerte Port,1976
842f1b49,Salma Dridi,salma.dridi@gmail.com,97129674,F,2022-02-01,6-Month,Active,Bizerte Port,1987
78201ac3,Malek Bahri,malek.bahri@gmail.com,53012041,M,2023-10-12,Annual,Cancelled,Bizerte Port,1974
e18ba1c3,Salma Jaziri,salma.jaziri@gmail.com,91184569,F,2023-11-19,Student,Active,Sfax Center,1997
bb58f63e,Malek Jaziri,malek.jaziri@gmail.com,96190326,M,2023-12-10,Monthly,Expired,Sfax Center,1976
71f27551,Siwar Abidi,,35555237,F,2022-03-16,6-Month,Expired,Bizerte Port,1985
bcb8809a,Bilel Khelifi,bilel.khelifi@gmail.com,92050389,M,2022-06-13,Student,Cancelled,Tunis Lake,1984
41609775,Fatma Ben Ali,fatma.ben.ali@gmail.com,90262656,F,2024-04-05,Annual,Active,Sousse Corniche,1982
c573c64e,Karim Jaziri,karim.jaziri@gmail.com,93186549,M,2022-07-11,ANNUAL,Active,Sousse Corniche,1982
f25208b7,Jasser Khelifi,jasser.khelifi@gmail.com,94179128,M,2024-11-06,Monthly,Active,Sfax Center,1970
06e9bee5,Nour Mansouri,nour.mansouri@gmail.com,30852251,F,2023-09-29,Annual,Active,Tunis Lake,2000
ccc720a3,Ahmed Trabelsi,ahmed.trabelsi@gmail.com,56804034,M,2024-09-20,6-Month,Active,Tunis Lake,1986
7bd8fbdc,Fatma Amri,fatma.amri@gmail.com,57166612,F,2023-06-21,6-MONTH,Expired,Sfax Center,1991
e88de345,Hedi Amri,hedi.amri@gmail.com,95727426,M,2023-12-07,Annual,Expired,Nabeul Plage,2004
3c7cae7d,Sami Amri,,91441324,M,2022-01-25,6-Month,Cancelled,Nabeul Plage,1990
